GW_devCount_vs_appCount,GW_devCount_vs_compCount,GW_upwardBW_vs_appCount,GW_resCap_vs_demand,ES_devCount_vs_appCount,ES_devCount_vs_compCount,ES_upwardBW_vs_appCount,ES_resCap_vs_demand,is_fail
0.8,0.034782608695652174,0.40199999999999997,0.06617859387474306,1.6666666666666667,0.08695652173913043,30.8,0.37982534706672644,1
0.8,0.034782608695652174,0.40199999999999997,0.06617859387474306,1.6666666666666667,0.07874015748031496,30.8,0.3287158083028993,1
0.6666666666666666,0.03076923076923077,0.33499999999999996,0.05944218864407907,2,0.10204081632653061,25.666666666666668,0.44718228459027026,1
0.8,0.034782608695652174,0.40199999999999997,0.06617859387474306,1.6666666666666667,0.08771929824561403,30.8,0.3987324835005877,1
0.8,0.034782608695652174,0.40199999999999997,0.06617859387474306,1.6666666666666667,0.08196721311475409,30.8,0.36170816520683663,1
1.3333333333333333,0.046511627906976744,0.6699999999999999,0.07973476321067495,5,0.1744186046511628,51.333333333333336,1.9183598706561336,1
1.3333333333333333,0.05128205128205128,0.6699999999999999,0.10123950835433823,5,0.19230769230769232,51.333333333333336,2.1165083021403213,1
11,3.6666666666666665,76.7,6.4925229136517135,15,5,862,51.901109503135565,0
0.5,0.027777777777777776,4.875,0.10449046458875916,2.5,0.1388888888888889,143.66666666666666,1.0295660757792156,0
0.5,0.027777777777777776,4.875,0.10449046458875916,2.142857142857143,0.1388888888888889,123.14285714285714,1.0295660757792156,0
0.4,0.02631578947368421,3.9,0.10176321387661597,2,0.13157894736842105,123.14285714285714,1.0026939126165935,0
0.3333333333333333,0.023255813953488372,3.25,0.09787912174392069,1.6666666666666667,0.11627906976744186,123.14285714285714,0.9644231525930592,0
0.3333333333333333,0.023255813953488372,3.25,0.09787912174392069,1.6666666666666667,0.11627906976744186,107.75,0.9644231525930592,0
0.3333333333333333,0.023255813953488372,3.25,0.09787912174392069,1.6666666666666667,0.11627906976744186,95.77777777777777,0.9644231525930592,0
0.2857142857142857,0.019230769230769232,2.7857142857142856,0.08076954298238495,1.4285714285714286,0.09615384615384616,95.77777777777777,0.795838947966556,0
0.2857142857142857,0.019230769230769232,2.7857142857142856,0.08076954298238495,1.4285714285714286,0.09615384615384616,86.2,0.795838947966556,0
0.25,0.01818181818181818,2.4375,0.07861386764427028,1.25,0.09090909090909091,86.2,0.7745986347259972,0
0.2222222222222222,0.016666666666666666,2.1666666666666665,0.07418950759044411,1.1111111111111112,0.08333333333333333,86.2,0.7310045035640791,0
2,0.06451612903225806,19.5,0.2185372282011861,10,0.3225806451612903,862,2.153292334724358,0
